14 spi_master spi tx  
15 spi_master spi sck
16 spi_master spi Csn 
17 spi_master spi rx
þþp14
Unknown command
p# - Set the first pin to receive capture data
n# - Set how many pins to receive capture data
f# - Set the freqency to capture data at in Hz
t(1)(0) - Set the trigger to high or low
    Trigger happens off first pin
s# - Set how many samples to capture
g - Go!
p14
Start pin is 14
n4
Total pins is 4
s250000
Sample number is 250000
f1000000
Frequency is 1000000 div is 125.000000
t1
Trigger set to 1
go
Clock speed is   125000000
Capture speed is 1000000.000000.2
Arming trigger
1,0,0,1,
0,0,0,0,
1,0,0,1,
0,0,0,0,
1,0,0,1,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,1,1,0,
0,1,1,0,
1,1,1,1,
0,1,1,0,
1,1,1,1,
0,1,1,0,
1,1,1,1,
0,1,1,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1,0,0,1,
0,0,0,0,
1,0,0,1,
0,0,0,0,
1,0,0,1,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,1,1,0,
0,1,1,0,
1,1,1,1,
0,1,1,0,
1,1,1,1,
0,1,1,0,
1,1,1,1,
0,1,1,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1,0,0,1,
0,0,0,0,
1,0,0,1,
0,0,0,0,
1,0,0,1,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,1,1,0,
0,1,1,0,
1,1,1,1,
0,1,1,0,
1,1,1,1,
0,1,1,0,
1,1,1,1,
0,1,1,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1,0,0,1,
1,0,0,1,
1,0,0,1,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
0,1,1,0,
0,1,1,0,
1,1,1,1,
0,1,1,0,
1,1,1,1,
1,1,1,1,
0,1,1,0,
0,1,1,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1,0,0,1,
1,0,0,1,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1,0,0,1,
0,0,0,1,
0,0,0,0,
0,1,1,0,
0,1,1,0,
1,1,1,1,
1,1,1,1,
0,1,1,0,
0,1,1,0,
1,1,1,1,
0,1,1,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1,0,0,1,
1,0,0,1,
0,0,0,0,
0,0,0,0,
1,0,0,1,
1,0,0,1,
0,0,0,1,
0,0,0,0,
0,1,1,0,
0,1,1,0,
1,1,1,1,
1,1,1,1,
0,1,1,0,
1,1,1,1,
0,1,1,0,
0,1,1,0,
0,0,0,0,
0,0,0,0,
0,0,0,0,
1,0,0,1,
1,0,0,1,
0,0,0,0,
1,0,0,1,
0,0,0,0,
